Old Man Willow;commander
Tree of Perdition;
Stone of Erech;
Voracious Fell Beast;
Lash of the Balrog;
Strength in Numbers;
Sakura-Tribe Scout;
Swiftfoot Boots;
Mirror of Galadriel;
Raking Canopy;
Overwhelming Stampede;
Rude Awakening;
Molimo, Maro-Sorcerer;
Helm of Kaldra;
Mirkwood Bats;
Ent's Fury;
Revive the Shire;
Gollum, Patient Plotter;
Dunland Crebain;
Broken Bond;
The Black Breath;
Sméagol, Helpful Guide;
One Ring to Rule Them All;
Troll of Khazad-dûm;
Nasty End;
Brandywine Farmer;
Feed the Swarm;
Yedora, Grave Gardener;
Gríma Wormtongue;
The Torment of Gollum;
Claim the Precious;
Courser of Kruphix;
Loxodon Warhammer;
Easterling Vanguard;
Bitter Downfall;
Rise of the Witch-king;
Peregrin Took;
Galadhrim Bow;
Scytheclaw;
Wood Elves;
Splendid Reclamation;
Life // Death;
Ringwraiths;
Culling Ritual;
Recover;
The Ring Goes South;
Farseek;
Fork in the Road;
Oath of the Grey Host;
Gothmog, Morgul Lieutenant;
Grow from the Ashes;
Brawn;
Mordor Muster;
Sam's Desperate Rescue;
Haunt of the Dead Marshes;
Shower of Arrows;
Hornet Queen;
Stew the Coneys;
Bladed Pinions;
Generous Ent;
Many Partings;
Elanor Gardner;
Black Dragon Gate;
Rogue's Passage;
Shire Terrace;
Great Hall of the Citadel;
Evolving Wilds;
The Grey Havens;
The Shire;
Crystal Grotto;
Myriad Landscape;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Forest;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
Swamp;
